Date,Open,High,Low,Close,Adj Close,Volume
2018-09-28,233.860001,235.470001,233.789993,234.880005,230.531998,1602800
2018-10-01,235.809998,236.529999,234.429993,234.649994,230.306213,1673100
2018-10-02,234.100006,237.570007,233.869995,236.350006,231.974762,1647600
2018-10-03,236.619995,237.309998,232.729996,233.199997,228.883057,2322300
2018-10-04,233.259995,234.000000,230.660004,231.679993,227.391205,2862800
2018-10-05,225.000000,227.059998,217.789993,218.820007,214.769287,7379000
2018-10-08,219.339996,224.500000,219.259995,223.929993,219.784683,3863500
2018-10-09,224.149994,225.149994,222.559998,224.169998,220.020233,2502800
2018-10-10,224.100006,225.000000,221.039993,221.050003,216.957993,3021400
2018-10-11,222.910004,225.320007,220.929993,221.820007,217.713760,3650900
2018-10-12,225.199997,227.619995,223.389999,226.949997,222.748779,3130500
2018-10-15,226.250000,226.940002,224.250000,224.509995,220.353943,2441900
2018-10-16,224.869995,228.259995,224.320007,227.679993,223.465271,2541800
2018-10-17,228.449997,228.880005,225.509995,228.490005,224.260300,2129300
2018-10-18,228.539993,230.649994,226.250000,228.580002,224.348602,2624600
2018-10-19,228.899994,230.630005,228.720001,229.669998,225.418427,2099800
2018-10-22,229.880005,230.250000,227.270004,229.059998,224.819702,2007300
2018-10-23,227.070007,229.259995,223.820007,228.750000,224.515457,2656700
2018-10-24,225.929993,231.089996,223.089996,223.759995,219.617828,3100200
2018-10-25,224.059998,227.589996,222.839996,226.399994,222.208954,2218900
2018-10-26,222.309998,225.000000,217.000000,218.190002,214.150955,3995400
2018-10-29,219.750000,224.889999,218.750000,222.419998,218.302628,3801400
2018-10-30,223.100006,228.210007,223.009995,227.919998,223.700821,2410500
2018-10-31,228.649994,230.559998,225.559998,228.630005,224.397659,2674600
2018-11-01,228.179993,230.800003,227.539993,229.600006,225.349716,2095000
2018-11-02,229.809998,232.229996,227.179993,230.160004,225.899368,2167200
2018-11-05,230.710007,234.889999,229.800003,234.449997,230.109909,2513900
2018-11-06,235.000000,237.490005,234.179993,236.710007,232.328094,2101300
2018-11-07,238.750000,240.880005,236.940002,240.369995,235.920349,2603600
2018-11-08,238.509995,239.800003,237.029999,238.699997,234.838150,2140600
2018-11-09,237.970001,240.259995,237.070007,237.740005,233.893692,2256700
2018-11-12,237.639999,239.199997,234.130005,234.479996,230.686417,2301400
2018-11-13,234.750000,236.419998,232.770004,234.139999,230.351913,1548100
2018-11-14,237.119995,237.119995,231.710007,233.309998,229.535355,1896500
2018-11-15,232.320007,232.649994,227.000000,229.940002,226.219879,2722300
2018-11-16,229.300003,231.119995,226.520004,231.020004,227.282410,2822400
2018-11-19,231.610001,233.500000,227.809998,228.740005,225.039291,1949500
2018-11-20,224.919998,225.000000,218.050003,219.309998,215.761841,3704800
